               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11167,            0.080525,            0.064623,                   0,                   0,                   0,                   0,                   0,             0.01817,                   0,               6e-05,               6e-05,             0.09946
                   1,              0.1075,            0.079734,            0.063835,                   0,                   0,                   0,                   0,                   0,            0.017461,                   0,          0.00012999,          0.00012999,             0.09883
                   2,             0.10423,            0.090005,            0.064119,                   0,                   0,                   0,                   0,                   0,            0.016954,                   0,          0.00019996,          0.00019996,              0.0982
                   3,             0.10106,             0.08939,            0.062966,                   0,                   0,                   0,                   0,                   0,            0.016681,                   0,          0.00026987,          0.00026987,             0.09757
                   4,            0.097032,            0.094889,            0.062645,                   0,                   0,                   0,                   0,                   0,            0.016306,                   0,           0.0003397,           0.0003397,             0.09694
                   5,            0.095445,            0.091151,            0.061973,                   0,                   0,                   0,                   0,                   0,            0.016429,                   0,          0.00040943,          0.00040943,            0.096309
                   6,            0.092116,             0.10021,            0.060476,                   0,                   0,                   0,                   0,                   0,            0.016395,                   0,          0.00047904,          0.00047904,            0.095679
                   7,            0.089654,            0.097796,             0.06029,                   0,                   0,                   0,                   0,                   0,            0.016755,                   0,          0.00054851,          0.00054851,            0.095049
                   8,            0.089707,             0.10612,            0.059197,                   0,                   0,                   0,                   0,                   0,            0.017596,                   0,           0.0006178,           0.0006178,            0.094418
                   9,            0.085613,             0.10713,            0.058555,                   0,                   0,                   0,                   0,                   0,            0.018061,                   0,           0.0006869,           0.0006869,            0.093787
                  10,            0.082575,            0.098466,            0.057378,                   0,                   0,                   0,                   0,                   0,            0.020425,                   0,          0.00075579,          0.00075579,            0.093156
                  11,            0.079537,             0.10153,            0.056494,                   0,                   0,                   0,                   0,                   0,            0.022647,                   0,          0.00082444,          0.00082444,            0.092524
                  12,            0.077155,             0.10334,            0.055891,                   0,                   0,                   0,                   0,                   0,            0.026282,                   0,          0.00089283,          0.00089283,            0.091893
                  13,            0.074129,            0.099854,            0.054858,                   0,                   0,                   0,                   0,                   0,            0.029685,                   0,          0.00096093,          0.00096093,            0.091261
                  14,            0.069851,            0.097765,            0.053807,                   0,                   0,                   0,                   0,                   0,            0.041094,                   0,           0.0010287,           0.0010287,            0.090629
                  15,            0.068937,            0.094714,            0.053297,                   0,                   0,                   0,                   0,                   0,            0.037785,                   0,           0.0010962,           0.0010962,            0.089996
                  16,            0.066333,            0.094479,             0.05239,                   0,                   0,                   0,                   0,                   0,            0.033383,                   0,           0.0011633,           0.0011633,            0.089363
                  17,            0.063482,            0.094609,            0.051619,                   0,                   0,                   0,                   0,                   0,            0.032767,                   0,           0.0012301,           0.0012301,             0.08873
                  18,            0.059875,            0.090207,            0.051505,                   0,                   0,                   0,                   0,                   0,            0.034335,                   0,           0.0012964,           0.0012964,            0.088096
                  19,             0.05892,            0.094283,            0.050791,                   0,                   0,                   0,                   0,                   0,            0.031657,                   0,           0.0013623,           0.0013623,            0.087462
                  20,            0.055748,            0.086804,            0.050558,                   0,                   0,                   0,                   0,                   0,            0.022568,                   0,           0.0014278,           0.0014278,            0.086828
                  21,            0.056092,            0.092997,            0.049617,                   0,                   0,                   0,                   0,                   0,            0.030107,                   0,           0.0014929,           0.0014929,            0.086193
                  22,            0.051982,            0.088352,            0.049092,                   0,                   0,                   0,                   0,                   0,            0.029352,                   0,           0.0015574,           0.0015574,            0.085557
                  23,            0.052863,            0.088597,            0.048779,                   0,                   0,                   0,                   0,                   0,            0.029772,                   0,           0.0016215,           0.0016215,            0.084921
                  24,            0.053925,            0.085805,             0.04853,                   0,                   0,                   0,                   0,                   0,            0.023449,                   0,            0.001685,            0.001685,            0.084285
                  25,            0.055119,            0.084057,            0.047589,                   0,                   0,                   0,                   0,                   0,            0.020437,                   0,            0.001748,            0.001748,            0.083648
                  26,            0.054416,            0.099593,            0.047721,                   0,                   0,                   0,                   0,                   0,            0.025783,                   0,           0.0018104,           0.0018104,             0.08301
                  27,            0.054847,            0.087561,            0.046784,                   0,                   0,                   0,                   0,                   0,            0.021982,                   0,           0.0018723,           0.0018723,            0.082372
                  28,             0.05776,            0.080203,            0.047758,                   0,                   0,                   0,                   0,                   0,              0.0199,                   0,           0.0019335,           0.0019335,            0.081733
                  29,            0.056371,            0.090467,            0.046791,                   0,                   0,                   0,                   0,                   0,            0.020366,                   0,           0.0019941,           0.0019941,            0.081094
                  30,             0.05513,            0.082442,             0.04602,                   0,                   0,                   0,                   0,                   0,            0.016916,                   0,           0.0020541,           0.0020541,            0.080454
                  31,            0.050469,            0.086152,            0.045997,                   0,                   0,                   0,                   0,                   0,            0.017775,                   0,           0.0021134,           0.0021134,            0.079813
                  32,            0.054851,            0.087241,            0.046207,                   0,                   0,                   0,                   0,                   0,            0.016775,                   0,            0.002172,            0.002172,            0.079172
                  33,            0.055978,            0.078672,            0.045711,                   0,                   0,                   0,                   0,                   0,            0.017454,                   0,           0.0022299,           0.0022299,             0.07853
                  34,            0.051925,            0.081838,            0.046118,                   0,                   0,                   0,                   0,                   0,            0.019864,                   0,           0.0022871,           0.0022871,            0.077887
                  35,            0.050635,            0.088318,            0.045678,                   0,                   0,                   0,                   0,                   0,            0.020977,                   0,           0.0023436,           0.0023436,            0.077244
                  36,            0.051729,              0.0838,            0.044804,                   0,                   0,                   0,                   0,                   0,            0.022717,                   0,           0.0023993,           0.0023993,            0.076599
                  37,            0.055152,            0.083932,            0.045439,                   0,                   0,                   0,                   0,                   0,            0.019487,                   0,           0.0024542,           0.0024542,            0.075954
                  38,            0.051473,            0.077519,            0.044644,                   0,                   0,                   0,                   0,                   0,            0.018584,                   0,           0.0025083,           0.0025083,            0.075308
                  39,             0.05263,            0.081206,            0.044277,                   0,                   0,                   0,                   0,                   0,            0.020493,                   0,           0.0025617,           0.0025617,            0.074662
                  40,            0.050922,            0.072451,            0.044857,                   0,                   0,                   0,                   0,                   0,            0.018833,                   0,           0.0026142,           0.0026142,            0.074014
                  41,            0.052208,            0.078691,            0.044751,                   0,                   0,                   0,                   0,                   0,            0.020612,                   0,           0.0026659,           0.0026659,            0.073366
                  42,            0.048485,            0.080259,            0.043329,                   0,                   0,                   0,                   0,                   0,            0.022607,                   0,           0.0027167,           0.0027167,            0.072717
                  43,            0.050633,              0.0785,            0.043391,                   0,                   0,                   0,                   0,                   0,            0.021718,                   0,           0.0027667,           0.0027667,            0.072067
                  44,            0.048045,            0.082302,            0.044047,                   0,                   0,                   0,                   0,                   0,            0.023745,                   0,           0.0028157,           0.0028157,            0.071416
                  45,            0.052827,            0.082425,            0.043721,                   0,                   0,                   0,                   0,                   0,            0.017187,                   0,           0.0028639,           0.0028639,            0.070764
                  46,            0.048016,            0.077915,            0.042689,                   0,                   0,                   0,                   0,                   0,            0.013308,                   0,           0.0029112,           0.0029112,            0.070111
                  47,             0.05018,            0.071142,            0.042879,                   0,                   0,                   0,                   0,                   0,            0.012443,                   0,           0.0029575,           0.0029575,            0.069457
                  48,            0.048688,            0.079247,            0.043301,                   0,                   0,                   0,                   0,                   0,            0.014214,                   0,           0.0030029,           0.0030029,            0.068803
                  49,            0.048393,            0.067856,            0.041326,                   0,                   0,                   0,                   0,                   0,            0.010804,                   0,           0.0030473,           0.0030473,            0.068147
                  50,            0.050093,             0.07566,            0.042628,                   0,                   0,                   0,                   0,                   0,              0.0153,                   0,           0.0030908,           0.0030908,            0.067491
                  51,            0.047391,            0.075078,            0.042192,                   0,                   0,                   0,                   0,                   0,            0.020787,                   0,           0.0031333,           0.0031333,            0.066833
                  52,            0.048434,            0.069622,            0.040263,                   0,                   0,                   0,                   0,                   0,            0.022033,                   0,           0.0031748,           0.0031748,            0.066175
                  53,            0.045715,            0.075562,            0.042585,                   0,                   0,                   0,                   0,                   0,            0.029143,                   0,           0.0032153,           0.0032153,            0.065515
                  54,            0.045745,            0.081574,            0.041188,                   0,                   0,                   0,                   0,                   0,            0.017145,                   0,           0.0032547,           0.0032547,            0.064855
                  55,            0.045611,            0.069476,            0.039867,                   0,                   0,                   0,                   0,                   0,            0.012572,                   0,           0.0032932,           0.0032932,            0.064193
                  56,            0.043305,            0.076626,            0.039538,                   0,                   0,                   0,                   0,                   0,            0.028525,                   0,           0.0033306,           0.0033306,            0.063531
                  57,            0.045878,            0.068295,            0.040924,                   0,                   0,                   0,                   0,                   0,            0.017657,                   0,            0.003367,            0.003367,            0.062867
                  58,            0.043678,            0.075905,            0.040137,                   0,                   0,                   0,                   0,                   0,            0.016666,                   0,           0.0034023,           0.0034023,            0.062202
                  59,            0.043368,             0.06916,            0.039632,                   0,                   0,                   0,                   0,                   0,            0.022459,                   0,           0.0034366,           0.0034366,            0.061537
                  60,            0.046169,             0.06786,            0.038081,                   0,                   0,                   0,                   0,                   0,            0.020381,                   0,           0.0034698,           0.0034698,             0.06087
                  61,            0.043799,            0.077097,            0.039931,                   0,                   0,                   0,                   0,                   0,            0.018512,                   0,           0.0035019,           0.0035019,            0.060202
                  62,            0.042723,            0.068804,            0.037893,                   0,                   0,                   0,                   0,                   0,            0.019245,                   0,           0.0035329,           0.0035329,            0.059533
                  63,            0.041319,             0.06268,            0.037905,                   0,                   0,                   0,                   0,                   0,            0.023821,                   0,           0.0035629,           0.0035629,            0.058863
                  64,            0.040703,            0.067326,            0.038612,                   0,                   0,                   0,                   0,                   0,            0.023352,                   0,           0.0035917,           0.0035917,            0.058192
                  65,            0.042424,            0.066233,            0.039692,                   0,                   0,                   0,                   0,                   0,           0.0088664,                   0,           0.0036194,           0.0036194,            0.057519
                  66,            0.041798,            0.065344,            0.036985,                   0,                   0,                   0,                   0,                   0,            0.011316,                   0,            0.003646,            0.003646,            0.056846
                  67,            0.044009,            0.066603,            0.036871,                   0,                   0,                   0,                   0,                   0,            0.019685,                   0,           0.0036715,           0.0036715,            0.056172
                  68,            0.042299,            0.060404,            0.036998,                   0,                   0,                   0,                   0,                   0,            0.014882,                   0,           0.0036959,           0.0036959,            0.055496
                  69,            0.045114,            0.073357,            0.037231,                   0,                   0,                   0,                   0,                   0,            0.020793,                   0,           0.0037192,           0.0037192,            0.054819
                  70,            0.040405,             0.06275,            0.036766,                   0,                   0,                   0,                   0,                   0,           0.0085926,                   0,           0.0037413,           0.0037413,            0.054141
                  71,            0.045796,            0.063261,            0.034724,                   0,                   0,                   0,                   0,                   0,           0.0062684,                   0,           0.0037623,           0.0037623,            0.053462
                  72,            0.052805,            0.063929,            0.035281,                   0,                   0,                   0,                   0,                   0,           0.0041587,                   0,           0.0037822,           0.0037822,            0.052782
                  73,            0.048311,            0.068266,            0.036826,                   0,                   0,                   0,                   0,                   0,           0.0072355,                   0,           0.0038009,           0.0038009,            0.052101
                  74,            0.049551,            0.062374,            0.035039,                   0,                   0,                   0,                   0,                   0,           0.0077264,                   0,           0.0038185,           0.0038185,            0.051418
                  75,            0.047506,            0.068465,            0.034647,                   0,                   0,                   0,                   0,                   0,            0.011619,                   0,           0.0038349,           0.0038349,            0.050735
                  76,            0.043941,            0.062847,            0.034901,                   0,                   0,                   0,                   0,                   0,            0.020727,                   0,           0.0038502,           0.0038502,             0.05005
                  77,            0.051551,            0.058921,            0.032386,                   0,                   0,                   0,                   0,                   0,            0.018786,                   0,           0.0038644,           0.0038644,            0.049364
                  78,            0.045223,            0.059044,            0.034301,                   0,                   0,                   0,                   0,                   0,            0.018523,                   0,           0.0038774,           0.0038774,            0.048677
                  79,            0.046982,             0.05676,            0.033355,                   0,                   0,                   0,                   0,                   0,            0.018059,                   0,           0.0038893,           0.0038893,            0.047989
                  80,            0.043048,            0.059498,            0.032406,                   0,                   0,                   0,                   0,                   0,            0.023446,                   0,           0.0039001,           0.0039001,              0.0473
                  81,            0.045749,            0.059137,            0.032194,                   0,                   0,                   0,                   0,                   0,            0.021328,                   0,           0.0039097,           0.0039097,             0.04661
                  82,              0.0427,            0.063405,            0.032669,                   0,                   0,                   0,                   0,                   0,            0.021009,                   0,           0.0039182,           0.0039182,            0.045918
                  83,            0.042574,             0.06458,            0.032452,                   0,                   0,                   0,                   0,                   0,            0.021784,                   0,           0.0039255,           0.0039255,            0.045226
                  84,            0.047979,            0.062446,            0.030935,                   0,                   0,                   0,                   0,                   0,            0.016545,                   0,           0.0039317,           0.0039317,            0.044532
                  85,            0.040787,            0.059433,            0.032473,                   0,                   0,                   0,                   0,                   0,            0.019784,                   0,           0.0039369,           0.0039369,            0.043837
                  86,            0.046776,            0.061339,            0.032277,                   0,                   0,                   0,                   0,                   0,            0.016959,                   0,           0.0039408,           0.0039408,            0.043141
                  87,            0.047149,            0.065441,            0.031034,                   0,                   0,                   0,                   0,                   0,            0.015065,                   0,           0.0039437,           0.0039437,            0.042444
                  88,            0.041485,            0.059249,            0.030352,                   0,                   0,                   0,                   0,                   0,            0.025972,                   0,           0.0039455,           0.0039455,            0.041745
                  89,            0.044821,            0.064976,            0.030229,                   0,                   0,                   0,                   0,                   0,            0.017976,                   0,           0.0039461,           0.0039461,            0.041046
                  90,            0.037328,            0.062909,            0.030894,                   0,                   0,                   0,                   0,                   0,            0.020299,                   0,           0.0039457,           0.0039457,            0.040346
                  91,            0.040608,             0.05659,            0.029225,                   0,                   0,                   0,                   0,                   0,            0.022268,                   0,           0.0039442,           0.0039442,            0.039644
                  92,            0.044816,            0.065233,            0.029095,                   0,                   0,                   0,                   0,                   0,            0.024515,                   0,           0.0039416,           0.0039416,            0.038942
                  93,            0.039952,            0.056862,            0.028766,                   0,                   0,                   0,                   0,                   0,            0.024106,                   0,           0.0039379,           0.0039379,            0.038238
                  94,            0.037952,            0.058818,            0.028178,                   0,                   0,                   0,                   0,                   0,             0.02801,                   0,           0.0039332,           0.0039332,            0.037533
                  95,             0.03876,            0.056078,            0.028542,                   0,                   0,                   0,                   0,                   0,            0.025256,                   0,           0.0039274,           0.0039274,            0.036827
                  96,            0.037959,            0.051302,            0.029303,                   0,                   0,                   0,                   0,                   0,            0.023027,                   0,           0.0039206,           0.0039206,            0.036121
                  97,            0.043175,            0.063288,            0.027498,                   0,                   0,                   0,                   0,                   0,            0.036329,                   0,           0.0039127,           0.0039127,            0.035413
                  98,            0.042652,            0.061045,            0.028225,                   0,                   0,                   0,                   0,                   0,            0.026895,                   0,           0.0039038,           0.0039038,            0.034704
